team            , session_title, player_name                   , position             , distance_km, sprint_distance_m, duration_min, distance_in_speed_zone_1_km, distance_in_speed_zone_2_km, distance_in_speed_zone_3_km, distance_in_speed_zone_4_km, distance_in_speed_zone_5_km, top_speed, distance_per_min, position_group
Lugazi FC       , MD25         , Derrick Mwanje                , Attacking Midfielders,     10.0716,           799.587,  95.08333333,                      0.8349,                      5.0346,                      3.4025,                      0.7219, 0.0777                     ,   27.9042,     105.9239264 , Attacking Midfielders
Lugazi FC       , MD25         , Emmanuel Obua                 , Wide Defenders       ,      7.457 ,           779.992,  95.08333333,                      0.755 ,                      3.6169,                      2.3052,                      0.7212, 0.0588                     ,   29.3122,      78.42594216, Wide Defenders
Lugazi FC       , MD25         , Freedom Mungudit              , Wide Midfielders     ,      8.0285,           951.718,  95.08333333,                      1.0921,                      4.6493,                      1.3352,                      0.6525, 0.2993                     ,   31.8083,      84.43645925, Wide Midfielders
Lugazi FC       , MD25         , Moses Ojoaza Buga             , Wide Midfielders     ,      4.8045,           509.509,  95.06666667,                      0.6284,                      2.4253,                      1.2413,                      0.4649, 0.0446                     ,   29.4962,      50.53821879, Wide Midfielders
Lugazi FC       , MD25         , OTHIENO JOSEPH                , Defenders            ,      9.0931,           560.773,  95.06666667,                      1.0702,                      4.8234,                      2.6387,                      0.4999, 0.0609                     ,   27.5362,      95.6497195 , Defenders
Lugazi FC       , MD25         , Rogers Adriko                 , Attacking Midfielders,      5.6712,           644.245,  95.06666667,                      0.424 ,                      2.9827,                      1.6203,                      0.5447, 0.0995                     ,   31.2883,      59.65497896, Attacking Midfielders
Lugazi FC       , MD25         , Rogers Atube                  , Defenders            ,      9.3928,           903.7  ,  95.06666667,                      1.0029,                      5.1823,                      2.3039,                      0.8054, 0.0982                     ,   30.1762,      98.80224404, Defenders
Lugazi FC       , MD25         , SSENOGA HUSSEIN               , Attacking Midfielders,      8.8161,           644.406,  95.06666667,                      0.7415,                      4.7202,                      2.71  ,                      0.6072, 0.0372                     ,   27.4082,      92.73597475, Attacking Midfielders
Lugazi FC       , MD26         , Ali Arshavin Bayo             , Central Midfielders  ,     10.9279,          1069.722,  97.23333333,                      0.7057,                      5.2007,                      3.9517,                      0.9753, 0.0945                     ,   28.7202,     112.3884128 , Central Midfielders
Lugazi FC       , MD26         , Ayiko Richard                 , Defenders            ,      8.8529,           429.791,  97.23333333,                      1.0228,                      5.0975,                      2.3029,                      0.399 , 0.0309                     ,   28.3042,      91.04799451, Defenders
Lugazi FC       , MD26         , Bashamu Mugwa                 , Forward              ,      6.337 ,           582.238,  97.23333333,                      0.5036,                      3.5636,                      1.6876,                      0.5064, 0.0759                     ,   31.6483,      65.17312307, Forward
